case_id,pdf_url,model,feature,predicted,evidence,latency_ms,error
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,microsoft/phi-4-mini-instruct,asylum_requested,True,Hernandez sought cancellation of removal and asylum.,6337,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,microsoft/phi-4-mini-instruct,withholding_requested,False,Not mentioned in the opinion.,6337,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,microsoft/phi-4-mini-instruct,CAT_requested,False,Not mentioned in the opinion.,6337,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,microsoft/phi-4-mini-instruct,protected_ground_political_opinion,False,Not mentioned in the opinion.,6337,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,microsoft/phi-4-mini-instruct,protected_ground_particular_social_group,False,Not mentioned in the opinion.,6337,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,microsoft/phi-4-mini-instruct,past_persecution_physical_violence,False,Not mentioned in the opinion.,6337,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,microsoft/phi-4-mini-instruct,past_persecution_death_threats,False,Not mentioned in the opinion.,6337,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,microsoft/phi-4-mini-instruct,persecutor_nongovernmental_actor,False,Not mentioned in the opinion.,6337,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,microsoft/phi-4-mini-instruct,credibility_finding,True,The IJ and BIA made findings on the merits of Hernandez's applications.,6337,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,microsoft/phi-4-mini-instruct,bars_one_year_deadline_missed,False,Not mentioned in the opinion.,6337,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,microsoft/phi-4-mini-instruct,nexus_requirement_met,True,Hernandez's TPS does not constitute an admission under the cancellation statute.,6337,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,microsoft/phi-4-mini-instruct,asylum_requested,True,"Nguyen applied for asylum, withholding of removal, and relief pursuant to the Convention Against Torture (CAT).",6151,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,microsoft/phi-4-mini-instruct,withholding_requested,True,Nguyen applied for withholding of removal.,6151,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,microsoft/phi-4-mini-instruct,CAT_requested,True,Nguyen applied for relief pursuant to the Convention Against Torture (CAT).,6151,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,microsoft/phi-4-mini-instruct,protected_ground_political_opinion,False,Not mentioned in the opinion.,6151,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,microsoft/phi-4-mini-instruct,protected_ground_particular_social_group,True,"Nguyen asserted a fear of persecution in Vietnam, including possible placement in a compulsory drug rehabilitation center, based on his prior drug use history and criminal record.",6151,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,microsoft/phi-4-mini-instruct,past_persecution_physical_violence,False,Not mentioned in the opinion.,6151,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,microsoft/phi-4-mini-instruct,past_persecution_death_threats,False,Not mentioned in the opinion.,6151,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,microsoft/phi-4-mini-instruct,persecutor_nongovernmental_actor,False,Not mentioned in the opinion.,6151,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,microsoft/phi-4-mini-instruct,credibility_finding,True,The IJ granted Nguyen’s applications for asylum and withholding of removal.,6151,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,microsoft/phi-4-mini-instruct,bars_one_year_deadline_missed,False,Not mentioned in the opinion.,6151,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,microsoft/phi-4-mini-instruct,nexus_requirement_met,True,"The IJ found that Nguyen had established a well-founded fear of future persecution due to the 2008 repatriation agreement between the United States and Vietnam, which requires the United States to share a deportee’s criminal record, and due to Vietnam’s policy of placing known drug users in compulsory rehabilitation centers.",6151,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,microsoft/phi-4-mini-instruct,asylum_requested,True,"Oscar applied for asylum, withholding of removal, and relief under the CAT.",5241,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,microsoft/phi-4-mini-instruct,withholding_requested,False,Not mentioned in the opinion.,5241,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,microsoft/phi-4-mini-instruct,CAT_requested,True,"Oscar applied for asylum, withholding of removal, and relief under the CAT.",5241,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,microsoft/phi-4-mini-instruct,protected_ground_political_opinion,False,,5241,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,microsoft/phi-4-mini-instruct,protected_ground_particular_social_group,False,,5241,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,microsoft/phi-4-mini-instruct,past_persecution_physical_violence,False,"Oscar testified that PHTK members punched and kicked him, but he was not really injured.",5241,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,microsoft/phi-4-mini-instruct,past_persecution_death_threats,False,Oscar testified that the men threatened to come back 'for real.',5241,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,microsoft/phi-4-mini-instruct,persecutor_nongovernmental_actor,False,Oscar did not testify that he experienced harm or racism from the Chilean government.,5241,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,microsoft/phi-4-mini-instruct,credibility_finding,True,The IJ found Oscar to be not credible.,5241,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,microsoft/phi-4-mini-instruct,bars_one_year_deadline_missed,False,Not mentioned in the opinion.,5241,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,microsoft/phi-4-mini-instruct,nexus_requirement_met,False,Not mentioned in the opinion.,5241,
16-72752-2022-04-26,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,microsoft/phi-4-mini-instruct,asylum_requested,True,"He filed a motion to reopen his 1997 removal proceedings so that he could file applications for asylum, withholding of removal, and protection under the Convention Against Torture (CAT).",8451,
16-72752-2022-04-26,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,microsoft/phi-4-mini-instruct,withholding_requested,True,"He filed a motion to reopen his 1997 removal proceedings so that he could file applications for asylum, withholding of removal, and protection under the Convention Against Torture (CAT).",8451,
