case_id,pdf_url,model,feature,predicted,evidence,latency_ms,error
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.1-8b-instruct,asylum_requested,True,The BIA also denied Hernandez’s application for asylum concluding that his 2016 domestic-violence conviction was a “particularly serious crime” that barred him from relief.,2652,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.1-8b-instruct,withholding_requested,False,Not mentioned in the opinion.,2652,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.1-8b-instruct,CAT_requested,False,Not mentioned in the opinion.,2652,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.1-8b-instruct,protected_ground_political_opinion,False,Not mentioned in the opinion.,2652,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.1-8b-instruct,protected_ground_particular_social_group,False,Not mentioned in the opinion.,2652,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.1-8b-instruct,past_persecution_physical_violence,False,Not mentioned in the opinion.,2652,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.1-8b-instruct,past_persecution_death_threats,False,Not mentioned in the opinion.,2652,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.1-8b-instruct,persecutor_nongovernmental_actor,False,Not mentioned in the opinion.,2652,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.1-8b-instruct,credibility_finding,False,Not mentioned in the opinion.,2652,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.1-8b-instruct,bars_one_year_deadline_missed,False,Not mentioned in the opinion.,2652,
21-70493-2022-09-14,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/09/14/21-70493.pdf,meta/llama-3.1-8b-instruct,nexus_requirement_met,False,Not mentioned in the opinion.,2652,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.1-8b-instruct,asylum_requested,True,"Nguyen applied for asylum, withholding of removal, and relief pursuant to the Convention Against Torture (CAT).",2729,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.1-8b-instruct,withholding_requested,True,"Nguyen applied for asylum, withholding of removal, and relief pursuant to the Convention Against Torture (CAT).",2729,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.1-8b-instruct,CAT_requested,True,"Nguyen applied for asylum, withholding of removal, and relief pursuant to the Convention Against Torture (CAT).",2729,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.1-8b-instruct,protected_ground_political_opinion,False,Not mentioned in the opinion.,2729,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.1-8b-instruct,protected_ground_particular_social_group,True,Nguyen insisted that he feared returning to Vietnam because he is a Buddhist and a member of two proposed particular social groups.,2729,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.1-8b-instruct,past_persecution_physical_violence,False,Not mentioned in the opinion.,2729,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.1-8b-instruct,past_persecution_death_threats,False,Not mentioned in the opinion.,2729,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.1-8b-instruct,persecutor_nongovernmental_actor,False,Not mentioned in the opinion.,2729,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.1-8b-instruct,credibility_finding,False,Not mentioned in the opinion.,2729,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.1-8b-instruct,bars_one_year_deadline_missed,False,Not mentioned in the opinion.,2729,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.1-8b-instruct,nexus_requirement_met,False,Not mentioned in the opinion.,2729,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.1-8b-instruct,asylum_requested,True,"Oscar applied for asylum, withholding of removal, and relief under the Convention Against Torture.",2722,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.1-8b-instruct,withholding_requested,True,"Oscar applied for asylum, withholding of removal, and relief under the Convention Against Torture.",2722,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.1-8b-instruct,CAT_requested,True,"Oscar applied for asylum, withholding of removal, and relief under the Convention Against Torture.",2722,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.1-8b-instruct,protected_ground_political_opinion,False,Not mentioned in the opinion.,2722,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.1-8b-instruct,protected_ground_particular_social_group,False,Not mentioned in the opinion.,2722,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.1-8b-instruct,past_persecution_physical_violence,False,Not mentioned in the opinion.,2722,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.1-8b-instruct,past_persecution_death_threats,False,Not mentioned in the opinion.,2722,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.1-8b-instruct,persecutor_nongovernmental_actor,False,Not mentioned in the opinion.,2722,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.1-8b-instruct,credibility_finding,True,"As discussed in the concurrently filed memorandum disposition, the IJ found Oscar to be not credible.",2722,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.1-8b-instruct,bars_one_year_deadline_missed,False,Not mentioned in the opinion.,2722,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.1-8b-instruct,nexus_requirement_met,False,Not mentioned in the opinion.,2722,
16-72752-2022-04-26,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.1-8b-instruct,asylum_requested,True,"In claiming he was eligible for relief, petitioner principally contended that he feared Mexican drug cartels would associate him with law enforcement and persecute him on that basis because as a teenager interested in a potential career in law enforcement, he “shadowed” his police officer brother-in-law.",3283,
16-72752-2022-04-26,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.1-8b-instruct,withholding_requested,True,"In claiming he was eligible for relief, petitioner principally contended that he feared Mexican drug cartels would associate him with law enforcement and persecute him on that basis because as a teenager interested in a potential career in law enforcement, he “shadowed” his police officer brother-in-law.",3283,
16-72752-2022-04-26,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.1-8b-instruct,CAT_requested,True,"In claiming he was eligible for relief, petitioner principally contended that he feared Mexican drug cartels would associate him with law enforcement and persecute him on that basis because as a teenager interested in a potential career in law enforcement, he “shadowed” his police officer brother-in-law.",3283,
16-72752-2022-04-26,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.1-8b-instruct,protected_ground_political_opinion,False,Not mentioned in the opinion.,3283,
16-72752-2022-04-26,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.1-8b-instruct,protected_ground_particular_social_group,True,"He points specifically to the fact that when he was a teenager living in Mexico, members of drug cartels threatened and harassed him because he was involved in police activities with his brother-in-law.",3283,
16-72752-2022-04-26,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.1-8b-instruct,past_persecution_physical_violence,False,Not mentioned in the opinion.,3283,
16-72752-2022-04-26,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.1-8b-instruct,past_persecution_death_threats,True,"He points specifically to the fact that when he was a teenager living in Mexico, members of drug cartels threatened and harassed him because he was involved in police activities with his brother-in-law.",3283,
16-72752-2022-04-26,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.1-8b-instruct,persecutor_nongovernmental_actor,True,"He points specifically to the fact that when he was a teenager living in Mexico, members of drug cartels threatened and harassed him because he was involved in police activities with his brother-in-law.",3283,
16-72752-2022-04-26,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.1-8b-instruct,credibility_finding,False,Not mentioned in the opinion.,3283,
16-72752-2022-04-26,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.1-8b-instruct,bars_one_year_deadline_missed,False,Not mentioned in the opinion.,3283,
16-72752-2022-04-26,https://cdn.ca9.uscourts.gov/datastore/opinions/2022/04/26/16-72752.pdf,meta/llama-3.1-8b-instruct,nexus_requirement_met,False,Not mentioned in the opinion.,3283,
20-72806-2023-01-12,https://cdn.ca9.uscourts.gov/datastore/opinions/2023/01/12/20-72806.pdf,meta/llama-3.1-8b-instruct,asylum_requested,True,"Asylum is available at the discretion of the Attorney General to an applicant who demonstrates that he is a 'refugee.'  8 U.S.C. § 1158(b)(1).  A 'refugee' is defined as someone 'who is unable or unwilling to return to the country of origin 'because of persecution or a well-founded fear of persecution on account of race, religion, nationality, membership in a particular social group, or political opinion.'  Melkonian v. Ashcroft, 320 F.3d 1061, 1064 (9th Cir. 2003) (quoting 8 U.S.C. § 1101(a)(42)(A)).",5848,
20-72806-2023-01-12,https://cdn.ca9.uscourts.gov/datastore/opinions/2023/01/12/20-72806.pdf,meta/llama-3.1-8b-instruct,withholding_requested,True,"A petitioner is entitled to withholding of removal if he can establish a 'clear probability,' INS v. Cardoza-Fonesca, 480 U.S. 421, 430 (1987), that his 'life or freedom would be threatened' upon return because of a protected category, 8 U.S.C. § 1231(b)(3)(A).",5848,
20-72806-2023-01-12,https://cdn.ca9.uscourts.gov/datastore/opinions/2023/01/12/20-72806.pdf,meta/llama-3.1-8b-instruct,CAT_requested,True,"To assert this claim, Singh must establish that it is 'more likely than not' that he will be tortured if removed to India.  See Kamalthas v. INS, 251 F.3d 1279, 1282 (9th Cir. 2001) (citing 8 C.F.R. § 208.16(c)(2)).",5848,
20-72806-2023-01-12,https://cdn.ca9.uscourts.gov/datastore/opinions/2023/01/12/20-72806.pdf,meta/llama-3.1-8b-instruct,protected_ground_political_opinion,True,"Singh argues that he was attacked for his own attributed political opinion and his association with his brother, a member of the Mann Party.",5848,
20-72806-2023-01-12,https://cdn.ca9.uscourts.gov/datastore/opinions/2023/01/12/20-72806.pdf,meta/llama-3.1-8b-instruct,protected_ground_particular_social_group,True,"Singh argues that he was attacked for his association with his brother, a member of the Mann Party.",5848,
20-72806-2023-01-12,https://cdn.ca9.uscourts.gov/datastore/opinions/2023/01/12/20-72806.pdf,meta/llama-3.1-8b-instruct,past_persecution_physical_violence,True,"Singh had to flee his home after he was the victim of a verbal confrontation and two physical attacks, one of which involved a death threat.",5848,
20-72806-2023-01-12,https://cdn.ca9.uscourts.gov/datastore/opinions/2023/01/12/20-72806.pdf,meta/llama-3.1-8b-instruct,past_persecution_death_threats,True,One of those incidents involved a death threat.,5848,
20-72806-2023-01-12,https://cdn.ca9.uscourts.gov/datastore/opinions/2023/01/12/20-72806.pdf,meta/llama-3.1-8b-instruct,persecutor_nongovernmental_actor,False,Not mentioned in the opinion.,5848,
20-72806-2023-01-12,https://cdn.ca9.uscourts.gov/datastore/opinions/2023/01/12/20-72806.pdf,meta/llama-3.1-8b-instruct,credibility_finding,True,"The IJ found Singh to be a credible witness.  There were only two concerns that the IJ expressed regarding Singh’s credibility: (1) a minor omission in his declaration, and (2) his testimony contained speculation.",5848,
20-72806-2023-01-12,https://cdn.ca9.uscourts.gov/datastore/opinions/2023/01/12/20-72806.pdf,meta/llama-3.1-8b-instruct,bars_one_year_deadline_missed,False,Not mentioned in the opinion.,5848,
20-72806-2023-01-12,https://cdn.ca9.uscourts.gov/datastore/opinions/2023/01/12/20-72806.pdf,meta/llama-3.1-8b-instruct,nexus_requirement_met,False,Not mentioned in the opinion.,5848,
19-70961-2023-08-15,https://cdn.ca9.uscourts.gov/datastore/opinions/2023/08/15/19-70961.pdf,meta/llama-3.1-8b-instruct,asylum_requested,True,"The key question when evaluating a claim of past persecution is whether, looking at the cumulative effect of all the incidents that a petitioner has suffered, the treatment he received rises to the level of persecution.",4175,
19-70961-2023-08-15,https://cdn.ca9.uscourts.gov/datastore/opinions/2023/08/15/19-70961.pdf,meta/llama-3.1-8b-instruct,withholding_requested,True,"Asylum and withholding regulations interpret that statutory language to mean that an applicant is entitled to a rebuttable presumption of future persecution if he or she has suffered 'past persecution.'  8 C.F.R. §§ 208.13(b)(1), 208.16(b)(1).",4175,
19-70961-2023-08-15,https://cdn.ca9.uscourts.gov/datastore/opinions/2023/08/15/19-70961.pdf,meta/llama-3.1-8b-instruct,CAT_requested,False,Not mentioned in the opinion.,4175,
19-70961-2023-08-15,https://cdn.ca9.uscourts.gov/datastore/opinions/2023/08/15/19-70961.pdf,meta/llama-3.1-8b-instruct,protected_ground_political_opinion,False,Not mentioned in the opinion.,4175,
