case_id,pdf_url,model,feature,predicted,evidence,latency_ms,error,raw_response
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.2-1b-instruct,asylum_requested,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2285,,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.2-1b-instruct,withholding_requested,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2285,,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.2-1b-instruct,CAT_requested,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2285,,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.2-1b-instruct,protected_ground_political_opinion,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2285,,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.2-1b-instruct,protected_ground_particular_social_group,False,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2285,,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.2-1b-instruct,past_persecution_physical_violence,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2285,,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.2-1b-instruct,past_persecution_death_threats,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2285,,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.2-1b-instruct,persecutor_nongovernmental_actor,False,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2285,,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.2-1b-instruct,credibility_finding,False,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2285,,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.2-1b-instruct,bars_one_year_deadline_missed,False,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2285,,
17-72197-2020-12-21,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/12/21/17-72197.pdf,meta/llama-3.2-1b-instruct,nexus_requirement_met,False,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2285,,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.2-1b-instruct,asylum_requested,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.2-1b-instruct,withholding_requested,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.2-1b-instruct,CAT_requested,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.2-1b-instruct,protected_ground_political_opinion,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.2-1b-instruct,protected_ground_particular_social_group,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.2-1b-instruct,past_persecution_physical_violence,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.2-1b-instruct,past_persecution_death_threats,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.2-1b-instruct,persecutor_nongovernmental_actor,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.2-1b-instruct,credibility_finding,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.2-1b-instruct,bars_one_year_deadline_missed,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
23-3858-2025-04-23,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/04/23/23-3858.pdf,meta/llama-3.2-1b-instruct,nexus_requirement_met,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
24-631-2025-08-27,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/08/27/24-631.pdf,meta/llama-3.2-1b-instruct,asylum_requested,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",4155,,
24-631-2025-08-27,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/08/27/24-631.pdf,meta/llama-3.2-1b-instruct,withholding_requested,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",4155,,
24-631-2025-08-27,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/08/27/24-631.pdf,meta/llama-3.2-1b-instruct,CAT_requested,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",4155,,
24-631-2025-08-27,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/08/27/24-631.pdf,meta/llama-3.2-1b-instruct,protected_ground_political_opinion,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",4155,,
24-631-2025-08-27,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/08/27/24-631.pdf,meta/llama-3.2-1b-instruct,protected_ground_particular_social_group,False,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",4155,,
24-631-2025-08-27,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/08/27/24-631.pdf,meta/llama-3.2-1b-instruct,past_persecution_physical_violence,False,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",4155,,
24-631-2025-08-27,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/08/27/24-631.pdf,meta/llama-3.2-1b-instruct,past_persecution_death_threats,False,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",4155,,
24-631-2025-08-27,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/08/27/24-631.pdf,meta/llama-3.2-1b-instruct,persecutor_nongovernmental_actor,False,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",4155,,
24-631-2025-08-27,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/08/27/24-631.pdf,meta/llama-3.2-1b-instruct,credibility_finding,False,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",4155,,
24-631-2025-08-27,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/08/27/24-631.pdf,meta/llama-3.2-1b-instruct,bars_one_year_deadline_missed,False,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",4155,,
24-631-2025-08-27,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/08/27/24-631.pdf,meta/llama-3.2-1b-instruct,nexus_requirement_met,False,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",4155,,
16-73915-2020-05-04,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/05/04/16-73915.pdf,meta/llama-3.2-1b-instruct,asylum_requested,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
16-73915-2020-05-04,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/05/04/16-73915.pdf,meta/llama-3.2-1b-instruct,withholding_requested,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
16-73915-2020-05-04,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/05/04/16-73915.pdf,meta/llama-3.2-1b-instruct,CAT_requested,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
16-73915-2020-05-04,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/05/04/16-73915.pdf,meta/llama-3.2-1b-instruct,protected_ground_political_opinion,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
16-73915-2020-05-04,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/05/04/16-73915.pdf,meta/llama-3.2-1b-instruct,protected_ground_particular_social_group,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
16-73915-2020-05-04,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/05/04/16-73915.pdf,meta/llama-3.2-1b-instruct,past_persecution_physical_violence,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
16-73915-2020-05-04,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/05/04/16-73915.pdf,meta/llama-3.2-1b-instruct,past_persecution_death_threats,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
16-73915-2020-05-04,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/05/04/16-73915.pdf,meta/llama-3.2-1b-instruct,persecutor_nongovernmental_actor,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
16-73915-2020-05-04,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/05/04/16-73915.pdf,meta/llama-3.2-1b-instruct,credibility_finding,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
16-73915-2020-05-04,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/05/04/16-73915.pdf,meta/llama-3.2-1b-instruct,bars_one_year_deadline_missed,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
16-73915-2020-05-04,https://cdn.ca9.uscourts.gov/datastore/opinions/2020/05/04/16-73915.pdf,meta/llama-3.2-1b-instruct,nexus_requirement_met,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2405,,
20-70397-2022-08-12,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/08/12/20-70397.pdf,meta/llama-3.2-1b-instruct,asylum_requested,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2219,,
20-70397-2022-08-12,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/08/12/20-70397.pdf,meta/llama-3.2-1b-instruct,withholding_requested,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2219,,
20-70397-2022-08-12,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/08/12/20-70397.pdf,meta/llama-3.2-1b-instruct,CAT_requested,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2219,,
20-70397-2022-08-12,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/08/12/20-70397.pdf,meta/llama-3.2-1b-instruct,protected_ground_political_opinion,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2219,,
20-70397-2022-08-12,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/08/12/20-70397.pdf,meta/llama-3.2-1b-instruct,protected_ground_particular_social_group,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2219,,
20-70397-2022-08-12,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/08/12/20-70397.pdf,meta/llama-3.2-1b-instruct,past_persecution_physical_violence,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2219,,
20-70397-2022-08-12,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/08/12/20-70397.pdf,meta/llama-3.2-1b-instruct,past_persecution_death_threats,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2219,,
20-70397-2022-08-12,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/08/12/20-70397.pdf,meta/llama-3.2-1b-instruct,persecutor_nongovernmental_actor,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2219,,
20-70397-2022-08-12,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/08/12/20-70397.pdf,meta/llama-3.2-1b-instruct,credibility_finding,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2219,,
20-70397-2022-08-12,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/08/12/20-70397.pdf,meta/llama-3.2-1b-instruct,bars_one_year_deadline_missed,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2219,,
20-70397-2022-08-12,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/08/12/20-70397.pdf,meta/llama-3.2-1b-instruct,nexus_requirement_met,True,"<verbatim quote from the opinion, or 'Not mentioned in the opinion.' if false>",2219,,
17-73156-2023-01-17,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/01/17/17-73156.pdf,meta/llama-3.2-1b-instruct,asylum_requested,True,NOT MENTIONED IN THE OPINION,1819,,
17-73156-2023-01-17,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/01/17/17-73156.pdf,meta/llama-3.2-1b-instruct,withholding_requested,True,NOT MENTIONED IN THE OPINION,1819,,
17-73156-2023-01-17,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/01/17/17-73156.pdf,meta/llama-3.2-1b-instruct,CAT_requested,True,NOT MENTIONED IN THE OPINION,1819,,
17-73156-2023-01-17,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/01/17/17-73156.pdf,meta/llama-3.2-1b-instruct,protected_ground_political_opinion,True,NOT MENTIONED IN THE OPINION,1819,,
17-73156-2023-01-17,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/01/17/17-73156.pdf,meta/llama-3.2-1b-instruct,protected_ground_particular_social_group,True,NOT MENTIONED IN THE OPINION,1819,,
17-73156-2023-01-17,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/01/17/17-73156.pdf,meta/llama-3.2-1b-instruct,past_persecution_physical_violence,True,NOT MENTIONED IN THE OPINION,1819,,
17-73156-2023-01-17,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/01/17/17-73156.pdf,meta/llama-3.2-1b-instruct,past_persecution_death_threats,True,NOT MENTIONED IN THE OPINION,1819,,
17-73156-2023-01-17,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/01/17/17-73156.pdf,meta/llama-3.2-1b-instruct,persecutor_nongovernmental_actor,True,NOT MENTIONED IN THE OPINION,1819,,
17-73156-2023-01-17,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/01/17/17-73156.pdf,meta/llama-3.2-1b-instruct,credibility_finding,True,NOT MENTIONED IN THE OPINION,1819,,
17-73156-2023-01-17,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/01/17/17-73156.pdf,meta/llama-3.2-1b-instruct,bars_one_year_deadline_missed,True,NOT MENTIONED IN THE OPINION,1819,,
17-73156-2023-01-17,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/01/17/17-73156.pdf,meta/llama-3.2-1b-instruct,nexus_requirement_met,True,NOT MENTIONED IN THE OPINION,1819,,
24-5221-2026-05-04,https://cdn.ca9.uscourts.gov/datastore/memoranda/2026/05/04/24-5221.pdf,meta/llama-3.2-1b-instruct,asylum_requested,True,NOT MENTIONED IN THE OPINION,1908,,
24-5221-2026-05-04,https://cdn.ca9.uscourts.gov/datastore/memoranda/2026/05/04/24-5221.pdf,meta/llama-3.2-1b-instruct,withholding_requested,True,NOT MENTIONED IN THE OPINION,1908,,
24-5221-2026-05-04,https://cdn.ca9.uscourts.gov/datastore/memoranda/2026/05/04/24-5221.pdf,meta/llama-3.2-1b-instruct,CAT_requested,True,NOT MENTIONED IN THE OPINION,1908,,
24-5221-2026-05-04,https://cdn.ca9.uscourts.gov/datastore/memoranda/2026/05/04/24-5221.pdf,meta/llama-3.2-1b-instruct,protected_ground_political_opinion,True,NOT MENTIONED IN THE OPINION,1908,,
24-5221-2026-05-04,https://cdn.ca9.uscourts.gov/datastore/memoranda/2026/05/04/24-5221.pdf,meta/llama-3.2-1b-instruct,protected_ground_particular_social_group,True,NOT MENTIONED IN THE OPINION,1908,,
24-5221-2026-05-04,https://cdn.ca9.uscourts.gov/datastore/memoranda/2026/05/04/24-5221.pdf,meta/llama-3.2-1b-instruct,past_persecution_physical_violence,True,NOT MENTIONED IN THE OPINION,1908,,
24-5221-2026-05-04,https://cdn.ca9.uscourts.gov/datastore/memoranda/2026/05/04/24-5221.pdf,meta/llama-3.2-1b-instruct,past_persecution_death_threats,True,NOT MENTIONED IN THE OPINION,1908,,
24-5221-2026-05-04,https://cdn.ca9.uscourts.gov/datastore/memoranda/2026/05/04/24-5221.pdf,meta/llama-3.2-1b-instruct,persecutor_nongovernmental_actor,True,NOT MENTIONED IN THE OPINION,1908,,
24-5221-2026-05-04,https://cdn.ca9.uscourts.gov/datastore/memoranda/2026/05/04/24-5221.pdf,meta/llama-3.2-1b-instruct,credibility_finding,True,NOT MENTIONED IN THE OPINION,1908,,
24-5221-2026-05-04,https://cdn.ca9.uscourts.gov/datastore/memoranda/2026/05/04/24-5221.pdf,meta/llama-3.2-1b-instruct,bars_one_year_deadline_missed,True,NOT MENTIONED IN THE OPINION,1908,,
24-5221-2026-05-04,https://cdn.ca9.uscourts.gov/datastore/memoranda/2026/05/04/24-5221.pdf,meta/llama-3.2-1b-instruct,nexus_requirement_met,True,NOT MENTIONED IN THE OPINION,1908,,
22-761-2023-04-20,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/04/20/22-761.pdf,meta/llama-3.2-1b-instruct,asylum_requested,True,NOT MENTIONED IN THE OPINION,1856,,
22-761-2023-04-20,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/04/20/22-761.pdf,meta/llama-3.2-1b-instruct,withholding_requested,True,NOT MENTIONED IN THE OPINION,1856,,
22-761-2023-04-20,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/04/20/22-761.pdf,meta/llama-3.2-1b-instruct,CAT_requested,True,NOT MENTIONED IN THE OPINION,1856,,
22-761-2023-04-20,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/04/20/22-761.pdf,meta/llama-3.2-1b-instruct,protected_ground_political_opinion,True,NOT MENTIONED IN THE OPINION,1856,,
22-761-2023-04-20,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/04/20/22-761.pdf,meta/llama-3.2-1b-instruct,protected_ground_particular_social_group,False,NOT MENTIONED IN THE OPINION,1856,,
22-761-2023-04-20,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/04/20/22-761.pdf,meta/llama-3.2-1b-instruct,past_persecution_physical_violence,True,NOT MENTIONED IN THE OPINION,1856,,
22-761-2023-04-20,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/04/20/22-761.pdf,meta/llama-3.2-1b-instruct,past_persecution_death_threats,True,NOT MENTIONED IN THE OPINION,1856,,
22-761-2023-04-20,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/04/20/22-761.pdf,meta/llama-3.2-1b-instruct,persecutor_nongovernmental_actor,False,NOT MENTIONED IN THE OPINION,1856,,
22-761-2023-04-20,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/04/20/22-761.pdf,meta/llama-3.2-1b-instruct,credibility_finding,True,NOT MENTIONED IN THE OPINION,1856,,
22-761-2023-04-20,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/04/20/22-761.pdf,meta/llama-3.2-1b-instruct,bars_one_year_deadline_missed,True,NOT MENTIONED IN THE OPINION,1856,,
22-761-2023-04-20,https://cdn.ca9.uscourts.gov/datastore/memoranda/2023/04/20/22-761.pdf,meta/llama-3.2-1b-instruct,nexus_requirement_met,False,NOT MENTIONED IN THE OPINION,1856,,
14-70905-2020-01-28,https://cdn.ca9.uscourts.gov/datastore/memoranda/2020/01/28/14-70905.pdf,meta/llama-3.2-1b-instruct,asylum_requested,True,NOT MENTIONED IN THE OPINION,1873,,
14-70905-2020-01-28,https://cdn.ca9.uscourts.gov/datastore/memoranda/2020/01/28/14-70905.pdf,meta/llama-3.2-1b-instruct,withholding_requested,True,NOT MENTIONED IN THE OPINION,1873,,
14-70905-2020-01-28,https://cdn.ca9.uscourts.gov/datastore/memoranda/2020/01/28/14-70905.pdf,meta/llama-3.2-1b-instruct,CAT_requested,True,NOT MENTIONED IN THE OPINION,1873,,
14-70905-2020-01-28,https://cdn.ca9.uscourts.gov/datastore/memoranda/2020/01/28/14-70905.pdf,meta/llama-3.2-1b-instruct,protected_ground_political_opinion,True,NOT MENTIONED IN THE OPINION,1873,,
14-70905-2020-01-28,https://cdn.ca9.uscourts.gov/datastore/memoranda/2020/01/28/14-70905.pdf,meta/llama-3.2-1b-instruct,protected_ground_particular_social_group,True,NOT MENTIONED IN THE OPINION,1873,,
14-70905-2020-01-28,https://cdn.ca9.uscourts.gov/datastore/memoranda/2020/01/28/14-70905.pdf,meta/llama-3.2-1b-instruct,past_persecution_physical_violence,True,NOT MENTIONED IN THE OPINION,1873,,
14-70905-2020-01-28,https://cdn.ca9.uscourts.gov/datastore/memoranda/2020/01/28/14-70905.pdf,meta/llama-3.2-1b-instruct,past_persecution_death_threats,True,NOT MENTIONED IN THE OPINION,1873,,
14-70905-2020-01-28,https://cdn.ca9.uscourts.gov/datastore/memoranda/2020/01/28/14-70905.pdf,meta/llama-3.2-1b-instruct,persecutor_nongovernmental_actor,True,NOT MENTIONED IN THE OPINION,1873,,
14-70905-2020-01-28,https://cdn.ca9.uscourts.gov/datastore/memoranda/2020/01/28/14-70905.pdf,meta/llama-3.2-1b-instruct,credibility_finding,True,NOT MENTIONED IN THE OPINION,1873,,
